AlarmName;AlarmDescription;Namespace;Dimensions;Statistic;MetricName;ComparisonOperator;Threshold;Period;DatapointsToAlarm;EvaluationPeriods;TreatMissingData;Unit;ActionsEnabled;AlarmActions;OKActions
Aws-prod-VPN_Syniverse_Chicago_state;Aws-prod_VPN1_state;AWS/VPN;Name=VpnId,Value=vpn-936b1dd8;Average;TunnelState;LessThanOrEqualToThreshold;0;300;1;1;missing;null;true;arn:aws:sns:eu-west-1:485783653432:Pagerduty_Devops;arn:aws:sns:eu-west-1:485783653432:Pagerduty_Devops
Aws-prod-VPN_Syniverse_Dallas_state;Aws-prod-VPN_Syniverse_Dallas_state;AWS/VPN;Name=VpnId,Value=vpn-9e6b1dd5;Average;TunnelState;LessThanOrEqualToThreshold;0;300;1;1;missing;null;true;arn:aws:sns:eu-west-1:485783653432:Pagerduty_Devops;arn:aws:sns:eu-west-1:485783653432:Pagerduty_Devops
EC2_backup-controller-production_status-failed;EC2_backup-controller-production_status-failed;AWS/EC2;Name=InstanceId,Value=i-7fdf81d5;Maximum;StatusCheckFailed;GreaterThanThreshold;0;120;1;1;null;Count;true;arn:aws:sns:eu-west-1:485783653432:Pagerduty_Devops;arn:aws:sns:eu-west-1:485783653432:Pagerduty_Devops
EC2_production-admin-strongswan_high-cpu;EC2_production-admin-strongswan_high-cpu;AWS/EC2;Name=InstanceId,Value=i-03f9848e752fb3dc6;Average;CPUUtilization;GreaterThanThreshold;90;120;2;3;null;Percent;true;arn:aws:sns:eu-west-1:485783653432:Pagerduty_Devops;arn:aws:sns:eu-west-1:485783653432:Pagerduty_Devops
EC2_production-admin-strongswan_status-failed;EC2_production-admin-strongswan_status-failed;AWS/EC2;Name=InstanceId,Value=i-03f9848e752fb3dc6;Maximum;StatusCheckFailed;GreaterThanThreshold;0;120;1;1;null;Count;true;arn:aws:sns:eu-west-1:485783653432:Pagerduty_Devops;arn:aws:sns:eu-west-1:485783653432:Pagerduty_Devops
EC2_production-hystrix-dashboard_high-cpu;EC2_production-hystrix-dashboard_high-cpu;AWS/EC2;Name=InstanceId,Value=i-02d62e5b55d997cc7;Average;CPUUtilization;GreaterThanThreshold;90;120;2;3;null;Percent;true;arn:aws:sns:eu-west-1:485783653432:Pagerduty_Devops;arn:aws:sns:eu-west-1:485783653432:Pagerduty_Devops
EC2_production-hystrix-dashboard_status-failed;EC2_production-hystrix-dashboard_status-failed;AWS/EC2;Name=InstanceId,Value=i-02d62e5b55d997cc7;Maximum;StatusCheckFailed;GreaterThanThreshold;0;120;1;1;null;Count;true;arn:aws:sns:eu-west-1:485783653432:Pagerduty_Devops;arn:aws:sns:eu-west-1:485783653432:Pagerduty_Devops
EC2_production-proxy-jump-machine_high-cpu;EC2_production-proxy-jump-machine_high-cpu;AWS/EC2;Name=InstanceId,Value=i-98978e14;Average;CPUUtilization;GreaterThanThreshold;90;120;2;3;null;Percent;true;arn:aws:sns:eu-west-1:485783653432:Pagerduty_Devops;arn:aws:sns:eu-west-1:485783653432:Pagerduty_Devops
EC2_production-proxy-jump-machine_status-failed;EC2_production-proxy-jump-machine_status-failed;AWS/EC2;Name=InstanceId,Value=i-98978e14;Maximum;StatusCheckFailed;GreaterThanThreshold;0;120;1;1;null;Count;true;arn:aws:sns:eu-west-1:485783653432:Pagerduty_Devops;arn:aws:sns:eu-west-1:485783653432:Pagerduty_Devops
EC2_production-sites-redirect_high-cpu;EC2_production-sites-redirect_high-cpu;AWS/EC2;Name=InstanceId,Value=i-0220b9b129395ccad;Average;CPUUtilization;GreaterThanThreshold;90;120;2;3;null;Percent;true;arn:aws:sns:eu-west-1:485783653432:Pagerduty_Devops;arn:aws:sns:eu-west-1:485783653432:Pagerduty_Devops
