AlarmName;AlarmDescription;Namespace;Dimensions;Statistic;MetricName;ComparisonOperator;Threshold;Period;DatapointsToAlarm;EvaluationPeriods;TreatMissingData;Unit;ActionsEnabled;AlarmActions;OKActions
EC2_Jenkins_high-cpu;EC2_Jenkins_high-cpu;AWS/EC2;Value=i-026c5d51534d04eda,Name=InstanceId;Average;CPUUtilization;GreaterThanThreshold;90;120;2;3;null;Percent;true;arn:aws:sns:eu-west-1:895782643746:stage-aws-services-alarms;arn:aws:sns:eu-west-1:895782643746:stage-aws-services-alarms
EC2_Jenkins_status-failed;EC2_Jenkins_status-failed;AWS/EC2;Value=i-026c5d51534d04eda,Name=InstanceId;Maximum;StatusCheckFailed;GreaterThanThreshold;0;120;1;1;null;Count;true;arn:aws:sns:eu-west-1:895782643746:stage-aws-services-alarms;arn:aws:sns:eu-west-1:895782643746:stage-aws-services-alarms
EC2_deployment-controller_high-cpu;EC2_deployment-controller_high-cpu;AWS/EC2;Value=i-058c47308a5ce17d4,Name=InstanceId;Average;CPUUtilization;GreaterThanThreshold;90;120;2;3;null;Percent;true;arn:aws:sns:eu-west-1:895782643746:stage-aws-services-alarms;arn:aws:sns:eu-west-1:895782643746:stage-aws-services-alarms
EC2_deployment-controller_status-failed;EC2_deployment-controller_status-failed;AWS/EC2;Value=i-058c47308a5ce17d4,Name=InstanceId;Maximum;StatusCheckFailed;GreaterThanThreshold;0;120;1;1;null;Count;true;arn:aws:sns:eu-west-1:895782643746:stage-aws-services-alarms;arn:aws:sns:eu-west-1:895782643746:stage-aws-services-alarms
EC2_geo-ip_high-cpu;EC2_geo-ip_high-cpu;AWS/EC2;Value=i-052e778245d5f7f53,Name=InstanceId;Average;CPUUtilization;GreaterThanThreshold;90;120;2;3;null;Percent;true;arn:aws:sns:eu-west-1:895782643746:stage-aws-services-alarms;arn:aws:sns:eu-west-1:895782643746:stage-aws-services-alarms
EC2_geo-ip_status-failed;EC2_geo-ip_status-failed;AWS/EC2;Value=i-052e778245d5f7f53,Name=InstanceId;Maximum;StatusCheckFailed;GreaterThanThreshold;0;120;1;1;null;Count;true;arn:aws:sns:eu-west-1:895782643746:stage-aws-services-alarms;arn:aws:sns:eu-west-1:895782643746:stage-aws-services-alarms
EC2_nexus3-artifact-repository_high-cpu;EC2_nexus3-artifact-repository_high-cpu;AWS/EC2;Value=i-b26de539,Name=InstanceId;Average;CPUUtilization;GreaterThanThreshold;90;120;2;3;null;Percent;true;arn:aws:sns:eu-west-1:895782643746:stage-aws-services-alarms;arn:aws:sns:eu-west-1:895782643746:stage-aws-services-alarms
EC2_nexus3-artifact-repository_status-failed;EC2_nexus3-artifact-repository_status-failed;AWS/EC2;Value=i-b26de539,Name=InstanceId;Maximum;StatusCheckFailed;GreaterThanThreshold;0;120;1;1;null;Count;true;arn:aws:sns:eu-west-1:895782643746:stage-aws-services-alarms;arn:aws:sns:eu-west-1:895782643746:stage-aws-services-alarms
EC2_staging-docker-build_high-cpu;EC2_staging-docker-build_high-cpu;AWS/EC2;Value=i-027538d3d585fd216,Name=InstanceId;Average;CPUUtilization;GreaterThanThreshold;90;120;2;3;null;Percent;true;arn:aws:sns:eu-west-1:895782643746:stage-aws-services-alarms;arn:aws:sns:eu-west-1:895782643746:stage-aws-services-alarms
EC2_staging-docker-build_status-failed;EC2_staging-docker-build_status-failed;AWS/EC2;Value=i-027538d3d585fd216,Name=InstanceId;Maximum;StatusCheckFailed;GreaterThanThreshold;0;120;1;1;null;Count;true;arn:aws:sns:eu-west-1:895782643746:stage-aws-services-alarms;arn:aws:sns:eu-west-1:895782643746:stage-aws-services-alarms
